publication line: warranty has been voided, you can only go east. 
00000000 000093be 2e 0074113b 0000002e 00000003 0074113e 00000083 0074114c 00000000 00000002
00000000 000093be 2e 0074113c 0000002e 00000003 0074113e 00000083 0074114d 00000000 00000002
00000000 000093be 0a 0074113d 0000000a 00000003 0074113e 00000083 0074114e 00000000 00000002
00000000 000093be 42 007480b8 00000042 00000003 007480c4 00000083 007480c6 00000000 00000002
00000000 000093be 75 007480b9 00000075 00000003 007480c4 00000083 007480c7 00000000 00000002
00000000 000093be 72 007480ba 00000072 00000003 007480c4 00000083 007480c8 00000000 00000002
00000000 000093be 6e 007480bb 0000006e 00000003 007480c4 00000083 007480c9 00000000 00000002
00000000 000093be 65 007480bc 00000065 00000003 007480c4 00000083 007480ca 00000000 00000002
00000000 000093be 64 007480bd 00000064 00000003 007480c4 00000083 007480cb 00000000 00000002
00000000 000093be 20 007480be 00000020 00000003 007480c4 00000083 007480cc 00000000 00000002
00000000 000093be 31 0074807f 00000031 00000003 007480c4 00000083 007480cd 00000000 00000002
00000000 000093be 35 00748090 00000035 00000003 007480c4 00000083 007480ce 00000000 00000002
00000000 000093be 33 007480a2 00000033 00000003 007480c4 00000083 007480cf 00000000 00000002
00000000 000093be 36 007480b4 00000036 00000003 007480c4 00000083 007480d0 00000000 00000002
00000000 000093be 2e 007480c0 0000002e 00000003 007480c4 00000083 007480d1 00000000 00000002
00000000 000093be 2e 007480c1 0000002e 00000003 007480c4 00000083 007480d2 00000000 00000002
00000000 000093be 2e 007480c2 0000002e 00000003 007480c4 00000083 007480d3 00000000 00000002
00000000 000093be 0a 007480c3 0000000a 00000003 007480c4 00000083 007480d4 00000000 00000002
00000000 000093be 42 0074cd36 00000042 00000003 0074cd42 00000083 0074cd44 00000000 00000002
00000000 000093be 75 0074cd37 00000075 00000003 0074cd42 00000083 0074cd45 00000000 00000002
00000000 000093be 72 0074cd38 00000072 00000003 0074cd42 00000083 0074cd46 00000000 00000002
00000000 000093be 6e 0074cd39 0000006e 00000003 0074cd42 00000083 0074cd47 00000000 00000002
00000000 000093be 65 0074cd3a 00000065 00000003 0074cd42 00000083 0074cd48 00000000 00000002
00000000 000093be 64 0074cd3b 00000064 00000003 0074cd42 00000083 0074cd49 00000000 00000002
00000000 000093be 20 0074cd3c 00000020 00000003 0074cd42 00000083 0074cd4a 00000000 00000002
00000000 000093be 32 0074ccfd 00000032 00000003 0074cd42 00000083 0074cd4b 00000000 00000002
00000000 000093be 30 0074cd0e 00000030 00000003 0074cd42 00000083 0074cd4c 00000000 00000002
00000000 000093be 34 0074cd20 00000034 00000003 0074cd42 00000083 0074cd4d 00000000 00000002
00000000 000093be 38 0074cd32 00000038 00000003 0074cd42 00000083 0074cd4e 00000000 00000002
00000000 000093be 2e 0074cd3e 0000002e 00000003 0074cd42 00000083 0074cd4f 00000000 00000002
00000000 000093be 2e 0074cd3f 0000002e 00000003 0074cd42 00000083 0074cd50 00000000 00000002
00000000 000093be 2e 0074cd40 0000002e 00000003 0074cd42 00000083 0074cd51 00000000 00000002
00000000 000093be 0a 0074cd41 0000000a 00000003 0074cd42 00000083 0074cd52 00000000 00000002
00000000 000093be 42 00755fc5 00000042 00000003 00755fd1 00000083 00755fd3 00000000 00000002
00000000 000093be 75 00755fc6 00000075 00000003 00755fd1 00000083 00755fd4 00000000 00000002
00000000 000093be 72 00755fc7 00000072 00000003 00755fd1 00000083 00755fd5 00000000 00000002
00000000 000093be 6e 00755fc8 0000006e 00000003 00755fd1 00000083 00755fd6 00000000 00000002
00000000 000093be 65 00755fc9 00000065 00000003 00755fd1 00000083 00755fd7 00000000 00000002
00000000 000093be 64 00755fca 00000064 00000003 00755fd1 00000083 00755fd8 00000000 00000002
00000000 000093be 20 00755fcb 00000020 00000003 00755fd1 00000083 00755fd9 00000000 00000002
00000000 000093be 32 00755f8c 00000032 00000003 00755fd1 00000083 00755fda 00000000 00000002
00000000 000093be 35 00755f9d 00000035 00000003 00755fd1 00000083 00755fdb 00000000 00000002
00000000 000093be 36 00755faf 00000036 00000003 00755fd1 00000083 00755fdc 00000000 00000002
00000000 000093be 30 00755fc1 00000030 00000003 00755fd1 00000083 00755fdd 00000000 00000002
00000000 000093be 2e 00755fcd 0000002e 00000003 00755fd1 00000083 00755fde 00000000 00000002
00000000 000093be 2e 00755fce 0000002e 00000003 00755fd1 00000083 00755fdf 00000000 00000002
00000000 000093be 2e 00755fcf 0000002e 00000003 00755fd1 00000083 00755fe0 00000000 00000002
00000000 000093be 0a 00755fd0 0000000a 00000003 00755fd1 00000083 00755fe1 00000000 00000002
00000000 000093be 42 0075ac4d 00000042 00000003 0075ac59 00000083 0075ac5b 00000000 00000002
00000000 000093be 75 0075ac4e 00000075 00000003 0075ac59 00000083 0075ac5c 00000000 00000002
00000000 000093be 72 0075ac4f 00000072 00000003 0075ac59 00000083 0075ac5d 00000000 00000002
00000000 000093be 6e 0075ac50 0000006e 00000003 0075ac59 00000083 0075ac5e 00000000 00000002
00000000 000093be 65 0075ac51 00000065 00000003 0075ac59 00000083 0075ac5f 00000000 00000002
00000000 000093be 64 0075ac52 00000064 00000003 0075ac59 00000083 0075ac60 00000000 00000002
00000000 000093be 20 0075ac53 00000020 00000003 0075ac59 00000083 0075ac61 00000000 00000002
00000000 000093be 33 0075ac14 00000033 00000003 0075ac59 00000083 0075ac62 00000000 00000002
00000000 000093be 30 0075ac25 00000030 00000003 0075ac59 00000083 0075ac63 00000000 00000002
00000000 000093be 37 0075ac37 00000037 00000003 0075ac59 00000083 0075ac64 00000000 00000002
00000000 000093be 32 0075ac49 00000032 00000003 0075ac59 00000083 0075ac65 00000000 00000002
00000000 000093be 2e 0075ac55 0000002e 00000003 0075ac59 00000083 0075ac66 00000000 00000002
00000000 000093be 2e 0075ac56 0000002e 00000003 0075ac59 00000083 0075ac67 00000000 00000002
00000000 000093be 2e 0075ac57 0000002e 00000003 0075ac59 00000083 0075ac68 00000000 00000002
00000000 000093be 0a 0075ac58 0000000a 00000003 0075ac59 00000083 0075ac69 00000000 00000002
00000000 000093be 42 0075f8dd 00000042 00000003 0075f8e9 00000083 0075f8eb 00000000 00000002
00000000 000093be 75 0075f8de 00000075 00000003 0075f8e9 00000083 0075f8ec 00000000 00000002
00000000 000093be 72 0075f8df 00000072 00000003 0075f8e9 00000083 0075f8ed 00000000 00000002
00000000 000093be 6e 0075f8e0 0000006e 00000003 0075f8e9 00000083 0075f8ee 00000000 00000002
00000000 000093be 65 0075f8e1 00000065 00000003 0075f8e9 00000083 0075f8ef 00000000 00000002
00000000 000093be 64 0075f8e2 00000064 00000003 0075f8e9 00000083 0075f8f0 00000000 00000002
00000000 000093be 20 0075f8e3 00000020 00000003 0075f8e9 00000083 0075f8f1 00000000 00000002
00000000 000093be 33 0075f8a4 00000033 00000003 0075f8e9 00000083 0075f8f2 00000000 00000002
00000000 000093be 35 0075f8b5 00000035 00000003 0075f8e9 00000083 0075f8f3 00000000 00000002
00000000 000093be 38 0075f8c7 00000038 00000003 0075f8e9 00000083 0075f8f4 00000000 00000002
00000000 000093be 34 0075f8d9 00000034 00000003 0075f8e9 00000083 0075f8f5 00000000 00000002
00000000 000093be 2e 0075f8e5 0000002e 00000003 0075f8e9 00000083 0075f8f6 00000000 00000002
00000000 000093be 2e 0075f8e6 0000002e 00000003 0075f8e9 00000083 0075f8f7 00000000 00000002
00000000 000093be 2e 0075f8e7 0000002e 00000003 0075f8e9 00000083 0075f8f8 00000000 00000002
00000000 000093be 0a 0075f8e8 0000000a 00000003 0075f8e9 00000083 0075f8f9 00000000 00000002
00000000 000093be 42 0076455b 00000042 00000003 00764567 00000083 00764569 00000000 00000002
00000000 000093be 75 0076455c 00000075 00000003 00764567 00000083 0076456a 00000000 00000002
00000000 000093be 72 0076455d 00000072 00000003 00764567 00000083 0076456b 00000000 00000002
00000000 000093be 6e 0076455e 0000006e 00000003 00764567 00000083 0076456c 00000000 00000002
00000000 000093be 65 0076455f 00000065 00000003 00764567 00000083 0076456d 00000000 00000002
00000000 000093be 64 00764560 00000064 00000003 00764567 00000083 0076456e 00000000 00000002
00000000 000093be 20 00764561 00000020 00000003 00764567 00000083 0076456f 00000000 00000002
00000000 000093be 34 00764522 00000034 00000003 00764567 00000083 00764570 00000000 00000002
00000000 000093be 30 00764533 00000030 00000003 00764567 00000083 00764571 00000000 00000002
00000000 000093be 39 00764545 00000039 00000003 00764567 00000083 00764572 00000000 00000002
00000000 000093be 36 00764557 00000036 00000003 00764567 00000083 00764573 00000000 00000002
00000000 000093be 2e 00764563 0000002e 00000003 00764567 00000083 00764574 00000000 00000002
00000000 000093be 2e 00764564 0000002e 00000003 00764567 00000083 00764575 00000000 00000002
00000000 000093be 2e 00764565 0000002e 00000003 00764567 00000083 00764576 00000000 00000002
00000000 000093be 0a 00764566 0000000a 00000003 00764567 00000083 00764577 00000000 00000002
00000000 000093be 42 007691e9 00000042 00000003 007691f5 00000083 007691f7 00000000 00000002
00000000 000093be 75 007691ea 00000075 00000003 007691f5 00000083 007691f8 00000000 00000002
00000000 000093be 72 007691eb 00000072 00000003 007691f5 00000083 007691f9 00000000 00000002
00000000 000093be 6e 007691ec 0000006e 00000003 007691f5 00000083 007691fa 00000000 00000002
00000000 000093be 65 007691ed 00000065 00000003 007691f5 00000083 007691fb 00000000 00000002
00000000 000093be 64 007691ee 00000064 00000003 007691f5 00000083 007691fc 00000000 00000002
00000000 000093be 20 007691ef 00000020 00000003 007691f5 00000083 007691fd 00000000 00000002
00000000 000093be 34 007691b0 00000034 00000003 007691f5 00000083 007691fe 00000000 00000002
00000000 000093be 36 007691c1 00000036 00000003 007691f5 00000083 007691ff 00000000 00000002
00000000 000093be 30 007691d3 00000030 00000003 007691f5 00000083 00769200 00000000 00000002
00000000 000093be 38 007691e5 00000038 00000003 007691f5 00000083 00769201 00000000 00000002
00000000 000093be 2e 007691f1 0000002e 00000003 007691f5 00000083 00769202 00000000 00000002
00000000 000093be 2e 007691f2 0000002e 00000003 007691f5 00000083 00769203 00000000 00000002
00000000 000093be 2e 007691f3 0000002e 00000003 007691f5 00000083 00769204 00000000 00000002
00000000 000093be 0a 007691f4 0000000a 00000003 007691f5 00000083 00769205 00000000 00000002
00000000 000093be 42 00776a79 00000042 00000003 00776a85 00000083 00776a87 00000000 00000002
00000000 000093be 75 00776a7a 00000075 00000003 00776a85 00000083 00776a88 00000000 00000002
00000000 000093be 72 00776a7b 00000072 00000003 00776a85 00000083 00776a89 00000000 00000002
00000000 000093be 6e 00776a7c 0000006e 00000003 00776a85 00000083 00776a8a 00000000 00000002
00000000 000093be 65 00776a7d 00000065 00000003 00776a85 00000083 00776a8b 00000000 00000002
00000000 000093be 64 00776a7e 00000064 00000003 00776a85 00000083 00776a8c 00000000 00000002
00000000 000093be 20 00776a7f 00000020 00000003 00776a85 00000083 00776a8d 00000000 00000002
00000000 000093be 35 00776a40 00000035 00000003 00776a85 00000083 00776a8e 00000000 00000002
00000000 000093be 31 00776a51 00000031 00000003 00776a85 00000083 00776a8f 00000000 00000002
00000000 000093be 32 00776a63 00000032 00000003 00776a85 00000083 00776a90 00000000 00000002
00000000 000093be 30 00776a75 00000030 00000003 00776a85 00000083 00776a91 00000000 00000002
00000000 000093be 2e 00776a81 0000002e 00000003 00776a85 00000083 00776a92 00000000 00000002
00000000 000093be 2e 00776a82 0000002e 00000003 00776a85 00000083 00776a93 00000000 00000002
00000000 000093be 2e 00776a83 0000002e 00000003 00776a85 00000083 00776a94 00000000 00000002
00000000 000093be 0a 00776a84 0000000a 00000003 00776a85 00000083 00776a95 00000000 00000002
00000000 000093be 42 0077b6fe 00000042 00000003 0077b70a 00000083 0077b70c 00000000 00000002
00000000 000093be 75 0077b6ff 00000075 00000003 0077b70a 00000083 0077b70d 00000000 00000002
